1001234;Almirante Reis;Portugal;1
1001899;Catarina Dias;Brasil;2
1104321;Carlos Almeida;Angola;3
1201234;Beatriz Fonseca;Irlanda;4
1231234;Patricia Ramos;Portugal;5
1234567;Anibal Cavaco Silva;Portugal;6
1234568;Rodrigo Jacinto;Portugal;7
1301234;Paula Ramos;Portugal;8
1401234;Joao Ferreira;Portugal;9
1501898;Antonio Costa;Portugal;10
1600001;Antonio dos Aires Silva;Portugal;11
1700150;Maria da Felicidade Eterna;Brasil;12
1701898;Miguel Costa;Portugal;13
1800002;Joao Basilio Mendes;Cabo Verde;14
1800003;Jose Maria Santos;Brasil;15
